uniprot_accession,uniprot_id,gene_name,protein_name,organism,sequence_length,uniprot_orphan_status,uniprot_ligand_info,iuphar_target_id,iuphar_name,iuphar_is_orphan,consensus_status,date_retrieved
P43115,PE2R3_HUMAN,PTGER3,Prostaglandin E2 receptor EP3 subtype,,390,unknown,,342,EP3 receptor,0,cognate,2026-05-05
P46091,CML2_HUMAN,CMKLR2,Chemerin-like receptor 2,,355,unknown,,82,chemerin receptor 2,0,cognate,2026-05-05
P46092,CCR10_HUMAN,CCR10,C-C chemokine receptor type 10,,362,unknown,,67,CCR10,0,cognate,2026-05-05
P46095,GPR6_HUMAN,GPR6,G-protein coupled receptor 6,,362,unknown,,85,GPR6,1,orphan,2026-05-05
P47901,V1BR_HUMAN,AVPR1B,Vasopressin V1b receptor,,424,unknown,,367,V1B receptor,0,cognate,2026-05-05
P49146,NPY2R_HUMAN,NPY2R,Neuropeptide Y receptor type 2,,381,unknown,,306,Y2 receptor,0,cognate,2026-05-05
P49190,PTH2R_HUMAN,PTH2R,Parathyroid hormone 2 receptor,,550,unknown,,332,PTH2 receptor,0,cognate,2026-05-05
P49682,CXCR3_HUMAN,CXCR3,C-X-C chemokine receptor type 3,,368,unknown,,70,CXCR3,0,cognate,2026-05-05
P50391,NPY4R_HUMAN,NPY4R,Neuropeptide Y receptor type 4,,375,unknown,,307,Y4 receptor,0,cognate,2026-05-05
P51582,P2RY4_HUMAN,P2RY4,P2Y purinoceptor 4,,365,unknown,,325,P2Y4 receptor,0,cognate,2026-05-05
P51679,CCR4_HUMAN,CCR4,C-C chemokine receptor type 4,,360,unknown,,61,CCR4,0,cognate,2026-05-05
P51681,CCR5_HUMAN,CCR5,C-C chemokine receptor type 5,,352,unknown,,62,CCR5,0,cognate,2026-05-05
P59542,T2R19_HUMAN,TAS2R19,Taste receptor type 2 member 19,,299,unknown,,670,TAS2R19,1,orphan,2026-05-05
Q03431,PTH1R_HUMAN,PTH1R,Parathyroid hormone/parathyroid hormone-related peptide receptor,,593,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (cAMP) (PubMed:30975883, PubMed:35932760).",331,PTH1 receptor,0,cognate,2026-05-05
Q13258,PD2R_HUMAN,PTGDR,Prostaglandin D2 receptor,,359,unknown,,338,DP1 receptor,0,cognate,2026-05-05
Q13324,CRFR2_HUMAN,CRHR2,Corticotropin-releasing factor receptor 2,,411,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and down-stream effectors, such as adenylate cyclase.",213,CRF2 receptor,0,cognate,2026-05-05
Q13639,5HT4R_HUMAN,HTR4,5-hydroxytryptamine receptor 4,,388,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:16102731, PubMed:35714614).",9,5-HT4 receptor,0,cognate,2026-05-05
Q14332,FZD2_HUMAN,FZD2,Frizzled-2,,565,unknown,,230,FZD2,1,orphan,2026-05-05
Q15722,LT4R1_HUMAN,LTB4R,Leukotriene B4 receptor 1,,352,unknown,,267,BLT1 receptor,0,cognate,2026-05-05
Q15743,GPR68_HUMAN,GPR68,G-protein coupled receptor 68,,365,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as phospholipase C (PubMed:29677517, PubMed:39753132).",114,GPR68,1,orphan,2026-05-05
Q16570,ACKR1_HUMAN,ACKR1,Atypical chemokine receptor 1,,336,unknown,"Atypical chemokine receptor that controls chemokine levels and localization via high-affinity chemokine binding that is uncoupled from classic ligand-driven signal transduction cascades, resulting instead in chemokine sequestration, degradation, or transcytosis.",316,ACKR1,1,orphan,2026-05-05
Q16581,C3AR_HUMAN,C3AR1,C3a anaphylatoxin chemotactic receptor,,482,unknown,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:37852260).",31,C3a receptor,0,cognate,2026-05-05
Q5T848,MGLYR_HUMAN,GPR158,Metabotropic glycine receptor,,1215,cognate,"In absence of glycine ligand, promotes the GTPase activator activity of RGS7, increasing the GTPase activity of G protein alpha subunits, thereby driving them into their inactive GDP-bound form (PubMed:36996198).",210,GPR158,1,orphan,2026-05-05
Q6QNK2,AGRD1_HUMAN,ADGRD1,Adhesion G-protein coupled receptor D1,,874,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:39884271).",202,ADGRD1,1,orphan,2026-05-05
Q6W5P4,NPSR1_HUMAN,NPSR1,Neuropeptide S receptor,,371,unknown,,302,NPS receptor,0,cognate,2026-05-05
Q7RTX0,TS1R3_HUMAN,TAS1R3,Taste receptor type 1 member 3,,852,unknown,,658,TAS1R3,1,orphan,2026-05-05
Q7Z602,GP141_HUMAN,GPR141,Probable G-protein coupled receptor 141,,305,orphan,,131,GPR141,1,orphan,2026-05-05
Q86SQ3,AGRE4_HUMAN,ADGRE4P,Putative adhesion G protein-coupled receptor E4P,,457,unknown,,185,ADGRE4P,1,orphan,2026-05-05
Q8IZF7,AGRF2_HUMAN,ADGRF2P,Putative adhesion G protein-coupled receptor F2P,,708,orphan,,191,ADGRF2,1,orphan,2026-05-05
Q8NFJ6,PKR2_HUMAN,PROKR2,Prokineticin receptor 2,,384,unknown,,336,PKR2,0,cognate,2026-05-05
Q8NG98,OR7D4_HUMAN,OR7D4,Olfactory receptor 7D4,,312,unknown,,,,,unknown,2026-05-05
Q8NGI8,O5AN1_HUMAN,OR5AN1,Olfactory receptor 5AN1,,311,unknown,"Ligand-binding causes a conformation change that triggers signaling via G(s)-class of G alpha protein GNAL, activating adenylyl cyclase (Probable)",,,,unknown,2026-05-05
Q8TDS4,HCAR2_HUMAN,HCAR2,Hydroxycarboxylic acid receptor 2,,363,unknown,,312,HCA2 receptor,0,cognate,2026-05-05
Q8TDS5,OXER1_HUMAN,OXER1,Oxoeicosanoid receptor 1,,384,unknown,,271,OXER1,0,cognate,2026-05-05
Q96RI8,TAAR6_HUMAN,TAAR6,Trace amine-associated receptor 6,,345,unknown,,171,TAAR6,1,orphan,2026-05-05
Q96RJ0,TAAR1_HUMAN,TAAR1,Trace amine-associated receptor 1,,339,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:31399635, PubMed:37935376, PubMed:37963465). TAAR1 is coupled with different G(i)/G(o)-, G(s)- or G(q)/G(11) classes of G alpha proteins depending on the ligand (PubMed:31399635, PubMed:37935376, PubMed:37963465).",364,TA1 receptor,0,cognate,2026-05-05
Q99527,GPER1_HUMAN,GPER1,G-protein coupled estrogen receptor 1,,375,unknown,,221,GPER,0,cognate,2026-05-05
Q99788,CML1_HUMAN,CMKLR1,Chemerin-like receptor 1,,373,unknown,,79,chemerin receptor 1,0,cognate,2026-05-05
Q99835,SMO_HUMAN,SMO,Protein smoothened,,787,cognate,,239,SMO,1,orphan,2026-05-05
Q9BPV8,P2Y13_HUMAN,P2RY13,P2Y purinoceptor 13,,354,unknown,,329,P2Y13 receptor,0,cognate,2026-05-05
Q9BXB1,LGR4_HUMAN,LGR4,Leucine-rich repeat-containing G-protein coupled receptor 4,,951,unknown,,147,LGR4,0,cognate,2026-05-05
Q9BXC0,HCAR1_HUMAN,HCAR1,Hydroxycarboxylic acid receptor 1,,346,unknown,,311,HCA1 receptor,0,cognate,2026-05-05
Q9BZJ7,GPR62_HUMAN,GPR62,G-protein coupled receptor 62,,368,unknown,,111,GPR62,1,orphan,2026-05-05
Q9GZN0,GPR88_HUMAN,GPR88,G protein-coupled receptor 88,,384,unknown,,123,GPR88,1,orphan,2026-05-05
Q9H1Y3,OPN3_HUMAN,OPN3,Opsin-3,,402,unknown,,160,OPN3,1,orphan,2026-05-05
Q9H255,O51E2_HUMAN,OR51E2,Olfactory receptor 51E2,,320,unknown,,,,,unknown,2026-05-05
Q9HAR2,AGRL3_HUMAN,ADGRL3,Adhesion G protein-coupled receptor L3,,1447,cognate,"Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors (PubMed:35418682). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase.",208,ADGRL3,1,orphan,2026-05-05
Q9HC97,GPR35_HUMAN,GPR35,G-protein coupled receptor 35,,309,unknown,"G-protein coupled receptor that binds to several ligands including the tryptophan metabolite kynurenic acid (KYNA), lysophosphatidic acid (LPA) or 5-hydroxyindoleacetic acid (5-HIAA) with high affinity, leading to rapid and transient activation of numerous intracellular signaling pathways (PubMed:16754668, PubMed:19473985, PubMed:20361937, PubMed:24347166, PubMed:35148838, PubMed:35926043). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as adenylate cyclase (PubMed:19473985, PubMed:35926043). Plays a role in neutrophil recruitment to sites of inflammation and bacterial clearance through the major serotonin metabolite 5-HIAA that acts as a physiological ligand (",102,GPR35,0,cognate,2026-05-05
Q9NYW0,T2R10_HUMAN,TAS2R10,Taste receptor type 2 member 10,,307,unknown,,666,TAS2R10,1,orphan,2026-05-05
Q9NYW4,TA2R5_HUMAN,TAS2R5,Taste receptor type 2 member 5,,299,unknown,,662,TAS2R5,1,orphan,2026-05-05
Q9NYW5,TA2R4_HUMAN,TAS2R4,Taste receptor type 2 member 4,,299,unknown,,661,TAS2R4,1,orphan,2026-05-05
Q9UBY5,LPAR3_HUMAN,LPAR3,Lysophosphatidic acid receptor 3,,353,unknown,,274,LPA3 receptor,0,cognate,2026-05-05
Q9UHX3,AGRE2_HUMAN,ADGRE2,Adhesion G protein-coupled receptor E2,,823,unknown,,183,ADGRE2,1,orphan,2026-05-05
Q9UP38,FZD1_HUMAN,FZD1,Frizzled-1,,647,unknown,,229,FZD1,1,orphan,2026-05-05
Q9Y5Y4,PD2R2_HUMAN,PTGDR2,Prostaglandin D2 receptor 2,,395,unknown,,339,DP2 receptor,0,cognate,2026-05-05
O76099,OR7C1_HUMAN,OR7C1,Olfactory receptor 7C1,,320,unknown,,,,,unknown,2026-05-05
O95371,OR2C1_HUMAN,OR2C1,Olfactory receptor 2C1,,312,unknown,,,,,unknown,2026-05-05
O95838,GLP2R_HUMAN,GLP2R,Glucagon-like peptide 2 receptor,,553,unknown,,250,GLP-2 receptor,0,cognate,2026-05-05
P0C645,OR4E1_HUMAN,OR4E1,Olfactory receptor 4E1,,315,unknown,,,,,unknown,2026-05-05
P0DN77,OPSG2_HUMAN,OPN1MW2,Medium-wave-sensitive opsin 2,,364,unknown,,,,,unknown,2026-05-05
P59534,T2R39_HUMAN,TAS2R39,Taste receptor type 2 member 39,,338,unknown,,675,TAS2R39,1,orphan,2026-05-05
Q14439,GP176_HUMAN,GPR176,G-protein coupled receptor 176,,515,orphan,,637,GPR176,1,orphan,2026-05-05
Q15620,OR8B8_HUMAN,OR8B8,Olfactory receptor 8B8,,311,unknown,,,,,unknown,2026-05-05
Q15760,GPR19_HUMAN,GPR19,Probable G-protein coupled receptor 19,,415,unknown,,90,GPR19,1,orphan,2026-05-05
Q16538,GP162_HUMAN,GPR162,Probable G-protein coupled receptor 162,,588,orphan,,142,GPR162,1,orphan,2026-05-05
Q49SQ1,GPR33_HUMAN,GPR33,Probable G-protein coupled receptor 33,,333,orphan,,100,GPR33,1,orphan,2026-05-05
Q7Z5H4,VN1R5_HUMAN,VN1R5,Vomeronasal type-1 receptor 5,,357,unknown,,,,,unknown,2026-05-05
Q7Z7M1,AGRD2_HUMAN,ADGRD2,Adhesion G protein-coupled receptor D2,,963,orphan,,204,ADGRD2,1,orphan,2026-05-05
Q8NGH7,O52L1_HUMAN,OR52L1,Olfactory receptor 52L1,,329,unknown,,,,,unknown,2026-05-05
Q8NGR2,OR1L6_HUMAN,OR1L6,Olfactory receptor 1L6,,347,unknown,,,,,unknown,2026-05-05
Q8NGS2,OR1J2_HUMAN,OR1J2,Olfactory receptor 1J2,,313,unknown,,,,,unknown,2026-05-05
Q8NGS8,O13C5_HUMAN,OR13C5,Olfactory receptor 13C5,,318,unknown,,,,,unknown,2026-05-05
Q8NGX3,O10T2_HUMAN,OR10T2,Olfactory receptor 10T2,,314,unknown,,,,,unknown,2026-05-05
Q8NH48,OR5B3_HUMAN,OR5B3,Olfactory receptor 5B3,,314,unknown,,,,,unknown,2026-05-05
Q8TDU9,RL3R2_HUMAN,RXFP4,Relaxin-3 receptor 2,,374,unknown,Binding of the ligand inhibit cAMP accumulation,354,RXFP4,0,cognate,2026-05-05
Q9GZK4,OR2H1_HUMAN,OR2H1,Olfactory receptor 2H1,,316,unknown,,,,,unknown,2026-05-05
Q9H2C8,O51V1_HUMAN,OR51V1,Olfactory receptor 51V1,,321,unknown,,,,,unknown,2026-05-05
Q9H339,O51B5_HUMAN,OR51B5,Olfactory receptor 51B5,,312,unknown,,,,,unknown,2026-05-05
Q9Y5P1,O51B2_HUMAN,OR51B2,Olfactory receptor 51B2,,312,unknown,,,,,unknown,2026-05-05
A6NND4,O2AT4_HUMAN,OR2AT4,Olfactory receptor 2AT4,,320,unknown,Endogenous ligand is unknown (Probable).,,,,unknown,2026-05-05
O60412,OR7C2_HUMAN,OR7C2,Olfactory receptor 7C2,,319,unknown,,,,,unknown,2026-05-05
O76001,OR2J3_HUMAN,OR2J3,Olfactory receptor 2J3,,311,unknown,,,,,unknown,2026-05-05
O95007,OR6B1_HUMAN,OR6B1,Olfactory receptor 6B1,,311,unknown,,,,,unknown,2026-05-05
O95222,OR6A2_HUMAN,OR6A2,Olfactory receptor 6A2,,327,unknown,,,,,unknown,2026-05-05
P30954,O10J1_HUMAN,OR10J1,Olfactory receptor 10J1,,320,unknown,,,,,unknown,2026-05-05
P47883,OR3A4_HUMAN,OR3A4P,Putative olfactory receptor 3A4,,348,unknown,,,,,unknown,2026-05-05
P47888,OR3A3_HUMAN,OR3A3,Olfactory receptor 3A3,,321,unknown,,,,,unknown,2026-05-05
Q13607,OR2F1_HUMAN,OR2F1,Olfactory receptor 2F1,,317,unknown,,,,,unknown,2026-05-05
Q7Z3T1,OR2W3_HUMAN,OR2W3,Olfactory receptor 2W3,,314,unknown,,,,,unknown,2026-05-05
Q86SP6,GP149_HUMAN,GPR149,Probable G-protein coupled receptor 149,,731,orphan,,135,GPR149,1,orphan,2026-05-05
Q8N628,OR2C3_HUMAN,OR2C3,Olfactory receptor 2C3,,320,unknown,,,,,unknown,2026-05-05
Q8NDV2,GPR26_HUMAN,GPR26,G-protein coupled receptor 26,,337,orphan,,96,GPR26,1,orphan,2026-05-05
Q8NGE3,O10P1_HUMAN,OR10P1,Olfactory receptor 10P1,,313,unknown,,,,,unknown,2026-05-05
Q8NGQ1,OR9G4_HUMAN,OR9G4,Olfactory receptor 9G4,,327,unknown,,,,,unknown,2026-05-05
Q8NGT0,O13C9_HUMAN,OR13C9,Olfactory receptor 13C9,,318,unknown,,,,,unknown,2026-05-05
Q8NH94,OR1L1_HUMAN,OR1L1,Olfactory receptor 1L1,,360,unknown,,,,,unknown,2026-05-05
Q8WZ84,OR8D1_HUMAN,OR8D1,Olfactory receptor 8D1,,308,unknown,,,,,unknown,2026-05-05
Q96AM1,MRGRF_HUMAN,MRGPRF,Mas-related G-protein coupled receptor member F,,343,orphan,,154,MRGPRF,1,orphan,2026-05-05
Q96CH1,GP146_HUMAN,GPR146,G-protein coupled receptor 146,,333,unknown,,133,GPR146,1,orphan,2026-05-05
Q9BY21,GPR87_HUMAN,GPR87,G-protein coupled receptor 87,,358,unknown,,122,GPR87,0,cognate,2026-05-05
Q9BZJ6,GPR63_HUMAN,GPR63,Probable G-protein coupled receptor 63,,419,orphan,,112,GPR63,0,cognate,2026-05-05
Q9H1C0,LPAR5_HUMAN,LPAR5,Lysophosphatidic acid receptor 5,,372,unknown,,124,LPA5 receptor,0,cognate,2026-05-05
Q9H341,O51M1_HUMAN,OR51M1,Olfactory receptor 51M1,,326,unknown,,,,,unknown,2026-05-05
Q9UJ42,GP160_HUMAN,GPR160,Probable G-protein coupled receptor 160,,338,orphan,,140,GPR160,1,orphan,2026-05-05
Q9UKL2,O52A1_HUMAN,OR52A1,Olfactory receptor 52A1,,312,unknown,,,,,unknown,2026-05-05
A6NH00,OR2T8_HUMAN,OR2T8,Olfactory receptor 2T8,,312,unknown,,,,,unknown,2026-05-05
O14718,OPSX_HUMAN,RRH,Visual pigment-like receptor peropsin,,337,unknown,,,,,unknown,2026-05-05
P0DN78,OPSG3_HUMAN,OPN1MW3,Medium-wave-sensitive opsin 3,,364,unknown,,,,,unknown,2026-05-05
P47887,OR1E2_HUMAN,OR1E2,Olfactory receptor 1E2,,323,unknown,,,,,unknown,2026-05-05
P58173,OR2B6_HUMAN,OR2B6,Olfactory receptor 2B6,,313,unknown,,,,,unknown,2026-05-05
P59535,T2R40_HUMAN,TAS2R40,Taste receptor type 2 member 40,,323,unknown,,676,TAS2R40,1,orphan,2026-05-05
P60893,GPR85_HUMAN,GPR85,Probable G-protein coupled receptor 85,,370,orphan,,121,GPR85,1,orphan,2026-05-05
Q15391,P2Y14_HUMAN,P2RY14,P2Y purinoceptor 14,,338,unknown,,330,P2Y14 receptor,0,cognate,2026-05-05
Q7RTR8,T2R42_HUMAN,TAS2R42,Taste receptor type 2 member 42,,314,unknown,,672,TAS2R42,1,orphan,2026-05-05
Q8NGC8,O11H7_HUMAN,OR11H7,Olfactory receptor 11H7,,314,unknown,,,,,unknown,2026-05-05
Q8NGI2,O52N4_HUMAN,OR52N4,Olfactory receptor 52N4,,321,unknown,,,,,unknown,2026-05-05
Q8NGM9,OR8D4_HUMAN,OR8D4,Olfactory receptor 8D4,,314,unknown,,,,,unknown,2026-05-05
Q8NGN3,O10G4_HUMAN,OR10G4,Olfactory receptor 10G4,,311,unknown,,,,,unknown,2026-05-05
Q8NGR6,OR1B1_HUMAN,OR1B1,Olfactory receptor 1B1,,317,unknown,,,,,unknown,2026-05-05
Q8NGY0,O10X1_HUMAN,OR10X1,Olfactory receptor 10X1,,326,unknown,,,,,unknown,2026-05-05
Q8NGY3,OR6K3_HUMAN,OR6K3,Olfactory receptor 6K3,,331,unknown,,,,,unknown,2026-05-05
Q8NH19,O10AG_HUMAN,OR10AG1,Olfactory receptor 10AG1,,301,unknown,,,,,unknown,2026-05-05
Q8NH85,OR5R1_HUMAN,OR8U3,Olfactory receptor 8U3,,324,unknown,,,,,unknown,2026-05-05
Q8TDV2,GP148_HUMAN,GPR148,Probable G-protein coupled receptor 148,,347,orphan,,134,GPR148,1,orphan,2026-05-05
Q9BXE9,VN1R3_HUMAN,VN1R3,Vomeronasal type-1 receptor 3,,311,unknown,,,,,unknown,2026-05-05
Q9GZM6,OR8D2_HUMAN,OR8D2,Olfactory receptor 8D2,,311,unknown,,,,,unknown,2026-05-05
Q9H208,O10A2_HUMAN,OR10A2,Olfactory receptor 10A2,,303,unknown,,,,,unknown,2026-05-05
Q9H209,O10A4_HUMAN,OR10A4,Olfactory receptor 10A4,,315,unknown,,,,,unknown,2026-05-05
Q9H342,O51J1_HUMAN,OR51J1,Olfactory receptor 51J1,,316,unknown,,,,,unknown,2026-05-05
Q9NQN1,OR2S1_HUMAN,OR2S2,Olfactory receptor 2S2,,319,unknown,,,,,unknown,2026-05-05
Q9NYV9,T2R13_HUMAN,TAS2R13,Taste receptor type 2 member 13,,303,unknown,,667,TAS2R13,1,orphan,2026-05-05
Q9NYW6,TA2R3_HUMAN,TAS2R3,Taste receptor type 2 member 3,,316,unknown,,660,TAS2R3,1,orphan,2026-05-05
Q9NYW7,TA2R1_HUMAN,TAS2R1,Taste receptor type 2 member 1,,299,unknown,,659,TAS2R1,1,orphan,2026-05-05
O14626,GP171_HUMAN,GPR171,G-protein coupled receptor 171,,319,unknown,,143,GPR171,1,orphan,2026-05-05
O76002,OR2J2_HUMAN,OR2J2,Olfactory receptor 2J2,,312,unknown,,,,,unknown,2026-05-05
O95800,GPR75_HUMAN,GPR75,Probable G-protein coupled receptor 75,,540,unknown,,115,GPR75,0,cognate,2026-05-05
P30953,OR1E1_HUMAN,OR1E1,Olfactory receptor 1E1,,314,unknown,,,,,unknown,2026-05-05
P47893,OR3A2_HUMAN,OR3A2,Olfactory receptor 3A2,,321,unknown,,,,,unknown,2026-05-05
P58182,O12D2_HUMAN,OR12D2,Olfactory receptor 12D2,,307,unknown,,,,,unknown,2026-05-05
P59533,T2R38_HUMAN,TAS2R38,Taste receptor type 2 member 38,,333,unknown,,682,TAS2R38,1,orphan,2026-05-05
P59537,T2R43_HUMAN,TAS2R43,Taste receptor type 2 member 43,,309,unknown,,678,TAS2R43,1,orphan,2026-05-05
P59540,T2R46_HUMAN,TAS2R46,Taste receptor type 2 member 46,,309,unknown,,679,TAS2R46,1,orphan,2026-05-05
P59543,T2R20_HUMAN,TAS2R20,Taste receptor type 2 member 20,,309,unknown,,671,TAS2R20,1,orphan,2026-05-05
Q13606,OR5I1_HUMAN,OR5I1,Olfactory receptor 5I1,,314,unknown,,,,,unknown,2026-05-05
Q15612,OR1Q1_HUMAN,OR1Q1,Olfactory receptor 1Q1,,314,unknown,,,,,unknown,2026-05-05
Q50KZ9,TA2R2_HUMAN,TAS2R2,Taste receptor type 2 member 2,,303,unknown,,3315,TAS2R2,1,orphan,2026-05-05
Q6IFH4,OR6B2_HUMAN,OR6B2,Olfactory receptor 6B2,,312,unknown,,,,,unknown,2026-05-05
Q7Z5H5,VN1R4_HUMAN,VN1R4,Vomeronasal type-1 receptor 4,,301,unknown,,,,,unknown,2026-05-05
Q8NGW1,OR6B3_HUMAN,OR6B3,Olfactory receptor 6B3,,331,unknown,,,,,unknown,2026-05-05
Q8NH59,O51Q1_HUMAN,OR51Q1,Olfactory receptor 51Q1,,317,unknown,,,,,unknown,2026-05-05
Q8NH87,OR9G1_HUMAN,OR9G1,Olfactory receptor 9G1,,305,unknown,,,,,unknown,2026-05-05
Q8NH92,OR1S1_HUMAN,OR1S1,Olfactory receptor 1S1,,325,unknown,,,,,unknown,2026-05-05
Q8NHC8,OR2T6_HUMAN,OR2T6,Olfactory receptor 2T6,,308,unknown,,,,,unknown,2026-05-05
Q8TCB6,O51E1_HUMAN,OR51E1,Olfactory receptor 51E1,,318,unknown,,,,,unknown,2026-05-05
Q8TCW9,PKR1_HUMAN,PROKR1,Prokineticin receptor 1,,393,unknown,,335,PKR1,0,cognate,2026-05-05
Q8WZ94,OR5P3_HUMAN,OR5P3,Olfactory receptor 5P3,,311,unknown,,,,,unknown,2026-05-05
Q969V1,MCHR2_HUMAN,MCHR2,Melanin-concentrating hormone receptor 2,,340,unknown,,281,MCH2 receptor,0,cognate,2026-05-05
Q96R48,OR2A5_HUMAN,OR2A5,Olfactory receptor 2A5,,311,unknown,,,,,unknown,2026-05-05
Q99678,GPR20_HUMAN,GPR20,G-protein coupled receptor 20,,358,orphan,,91,GPR20,1,orphan,2026-05-05
Q9H205,O2AG1_HUMAN,OR2AG1,Olfactory receptor 2AG1,,316,unknown,,,,,unknown,2026-05-05
Q9H210,OR2D2_HUMAN,OR2D2,Olfactory receptor 2D2,,308,unknown,,,,,unknown,2026-05-05
Q9NS66,GP173_HUMAN,GPR173,Probable G-protein coupled receptor 173,,373,unknown,,144,GPR173,1,orphan,2026-05-05
Q9NYW1,TA2R9_HUMAN,TAS2R9,Taste receptor type 2 member 9,,312,unknown,,665,TAS2R9,1,orphan,2026-05-05
Q9NYW3,TA2R7_HUMAN,TAS2R7,Taste receptor type 2 member 7,,318,unknown,,663,TAS2R7,1,orphan,2026-05-05
Q9UPC5,GPR34_HUMAN,GPR34,Probable G-protein coupled receptor 34,,381,unknown,,101,GPR34,0,cognate,2026-05-05
Q9Y2T5,GPR52_HUMAN,GPR52,G-protein coupled receptor 52,,361,unknown,,108,GPR52,1,orphan,2026-05-05
A4D2G3,O2A25_HUMAN,OR2A25,Olfactory receptor 2A25,,310,unknown,,,,,unknown,2026-05-05
A6ND48,O14I1_HUMAN,OR14I1,Olfactory receptor 14I1,,311,unknown,,,,,unknown,2026-05-05
A6NGY5,O51F1_HUMAN,OR51F1,Olfactory receptor 51F1,,319,unknown,,,,,unknown,2026-05-05
O75388,GPR32_HUMAN,GPR32,Probable G-protein coupled receptor 32,,356,unknown,"G-protein coupled receptor that binds to several ligands including resolvin D1 (RvD1) with high affinity, leading to rapid and transient activation of numerous intracellular signaling pathways.",99,GPR32,0,cognate,2026-05-05
O95665,NTR2_HUMAN,NTSR2,Neurotensin receptor type 2,,410,unknown,,310,NTS2 receptor,0,cognate,2026-05-05
O95918,OR2H2_HUMAN,OR2H2,Olfactory receptor 2H2,,312,unknown,,,,,unknown,2026-05-05
P35410,MAS1L_HUMAN,MAS1L,Mas-related G-protein coupled receptor MRG,,378,unknown,,151,MAS1L,1,orphan,2026-05-05
P47890,OR1G1_HUMAN,OR1G1,Olfactory receptor 1G1,,313,unknown,,,,,unknown,2026-05-05
P59538,T2R31_HUMAN,TAS2R31,Taste receptor type 2 member 31,,309,unknown,,674,TAS2R31,1,orphan,2026-05-05
Q15617,OR8G1_HUMAN,OR8G1,Olfactory receptor 8G1,,311,unknown,,,,,unknown,2026-05-05
Q6DWJ6,GP139_HUMAN,GPR139,Probable G-protein coupled receptor 139,,353,orphan,,130,GPR139,0,cognate,2026-05-05
Q7Z601,GP142_HUMAN,GPR142,G protein-coupled receptor 142,,462,unknown,,132,GPR142,1,orphan,2026-05-05
Q8NGA0,OR7G1_HUMAN,OR7G1,Olfactory receptor 7G1,,311,unknown,,,,,unknown,2026-05-05
Q8NGA4,G32P1_HUMAN,GPR32P1,Putative G-protein coupled receptor GPR32P1,,272,orphan,,,,,orphan,2026-05-05
Q8NGD0,OR4M1_HUMAN,OR4M1,Olfactory receptor 4M1,,313,unknown,,,,,unknown,2026-05-05
Q8NGG2,OR5T2_HUMAN,OR5T2,Olfactory receptor 5T2,,359,unknown,,,,,unknown,2026-05-05
Q8NGK2,O52B4_HUMAN,OR52B4,Olfactory receptor 52B4,,314,unknown,,,,,unknown,2026-05-05
Q8NGV6,OR5H6_HUMAN,OR5H6,Olfactory receptor 5H6,,325,unknown,,,,,unknown,2026-05-05
Q8NGW6,OR6K6_HUMAN,OR6K6,Olfactory receptor 6K6,,343,unknown,,,,,unknown,2026-05-05
Q8NH43,OR4L1_HUMAN,OR4L1,Olfactory receptor 4L1,,312,unknown,,,,,unknown,2026-05-05
Q8NH69,OR5W2_HUMAN,OR5W2,Olfactory receptor 5W2,,310,unknown,,,,,unknown,2026-05-05
Q8TDV5,GP119_HUMAN,GPR119,Glucose-dependent insulinotropic receptor,,335,unknown,,126,GPR119,0,cognate,2026-05-05
Q8WZA6,OR1E3_HUMAN,OR1E3,Olfactory receptor 1E3,,343,unknown,,,,,unknown,2026-05-05
Q969N4,TAAR8_HUMAN,TAAR8,Trace amine-associated receptor 8,,342,unknown,"Ligand-binding causes a conformation change that triggers signaling via G alpha proteins, possibly G(i)/G(o) G alpha proteins (PubMed:25391046)",172,TAAR8,1,orphan,2026-05-05
Q96P69,GPR78_HUMAN,GPR78,G-protein coupled receptor 78,,363,orphan,,116,GPR78,1,orphan,2026-05-05
Q96RA2,OR7D2_HUMAN,OR7D2,Olfactory receptor 7D2,,312,unknown,,,,,unknown,2026-05-05
Q96RI9,TAAR9_HUMAN,TAAR9,Trace amine-associated receptor 9,,348,cognate,,173,TAAR9,1,orphan,2026-05-05
